"";"Ecoreg_ID";"Ecorefion_name";"Biome_ID";"Biome_name";"n_Plots";"NA.";"NA..1";"NA..2";"NA..3"
"1";40106;"Cardamom Mountains rain forests";1;"Tropical and Subtropical Moist Broadleaf Forests";4;NA;NA;NA;NA
"2";40117;"Irrawaddy moist deciduous forests";1;"Tropical and Subtropical Moist Broadleaf Forests";1;NA;NA;NA;NA
"3";40118;"Jian Nan subtropical evergreen forests";1;"Tropical and Subtropical Moist Broadleaf Forests";638;NA;NA;NA;NA
"4";40120;"Lower Gangetic Plains moist deciduous forests";1;"Tropical and Subtropical Moist Broadleaf Forests";6;NA;NA;NA;NA
"5";40132;"Myanmar coastal rain forests";1;"Tropical and Subtropical Moist Broadleaf Forests";1;NA;NA;NA;NA
"6";40136;"Northern Annamites rain forests";1;"Tropical and Subtropical Moist Broadleaf Forests";1;NA;NA;NA;NA
"7";40137;"Northern Indochina subtropical forests";1;"Tropical and Subtropical Moist Broadleaf Forests";37;NA;NA;NA;NA
"8";40139;"Northern Thailand-Laos moist deciduous forests";1;"Tropical and Subtropical Moist Broadleaf Forests";3;NA;NA;NA;NA
"9";40149;"South China-Vietnam subtropical evergreen forests";1;"Tropical and Subtropical Moist Broadleaf Forests";136;NA;NA;NA;NA
"10";40163;"Tenasserim-South Thailand semi-evergreen rain forests";1;"Tropical and Subtropical Moist Broadleaf Forests";3;NA;NA;NA;NA
"11";40166;"Upper Gangetic Plains moist deciduous forests";1;"Tropical and Subtropical Moist Broadleaf Forests";21;NA;NA;NA;NA
"12";40169;"Hainan Island monsoon rain forests";1;"Tropical and Subtropical Moist Broadleaf Forests";13;NA;NA;NA;NA
"13";40170;"Nansei Islands subtropical evergreen forests";1;"Tropical and Subtropical Moist Broadleaf Forests";1;NA;NA;NA;NA
"14";40172;"Taiwan subtropical evergreen forests";1;"Tropical and Subtropical Moist Broadleaf Forests";4;NA;NA;NA;NA
"15";80101;"Guizhou Plateau broadleaf and mixed forests";1;"Tropical and Subtropical Moist Broadleaf Forests";256;NA;NA;NA;NA
"16";80102;"Yunnan Plateau subtropical evergreen forests";1;"Tropical and Subtropical Moist Broadleaf Forests";72;NA;NA;NA;NA
"17";40202;"Central Indochina dry forests";2;"Tropical and Subtropical Dry Broadleaf Forests";3;NA;NA;NA;NA
"18";40203;"Chhota-Nagpur dry deciduous forests";2;"Tropical and Subtropical Dry Broadleaf Forests";2;NA;NA;NA;NA
"19";40205;"Irrawaddy dry forests";2;"Tropical and Subtropical Dry Broadleaf Forests";1;NA;NA;NA;NA
"20";40401;"Eastern Himalayan broadleaf forests";4;"Temperate Broadleaf and Mixed Forests";17;NA;NA;NA;NA
"21";40403;"Western Himalayan broadleaf forests";4;"Temperate Broadleaf and Mixed Forests";3;NA;NA;NA;NA
"22";80401;"Appenine deciduous montane forests";4;"Temperate Broadleaf and Mixed Forests";1;NA;NA;NA;NA
"23";80402;"Atlantic mixed forests";4;"Temperate Broadleaf and Mixed Forests";85;NA;NA;NA;NA
"24";80404;"Balkan mixed forests";4;"Temperate Broadleaf and Mixed Forests";69;NA;NA;NA;NA
"25";80405;"Baltic mixed forests";4;"Temperate Broadleaf and Mixed Forests";133;NA;NA;NA;NA
"26";80406;"Cantabrian mixed forests";4;"Temperate Broadleaf and Mixed Forests";2;NA;NA;NA;NA
"27";80407;"Caspian Hyrcanian mixed forests";4;"Temperate Broadleaf and Mixed Forests";7;NA;NA;NA;NA
"28";80408;"Caucasus mixed forests";4;"Temperate Broadleaf and Mixed Forests";39;NA;NA;NA;NA
"29";80409;"Celtic broadleaf forests";4;"Temperate Broadleaf and Mixed Forests";58;NA;NA;NA;NA
"30";80411;"Central China loess plateau mixed forests";4;"Temperate Broadleaf and Mixed Forests";468;NA;NA;NA;NA
"31";80412;"Central European mixed forests";4;"Temperate Broadleaf and Mixed Forests";912;NA;NA;NA;NA
"32";80413;"Central Korean deciduous forests";4;"Temperate Broadleaf and Mixed Forests";8;NA;NA;NA;NA
"33";80414;"Changbai Mountains mixed forests";4;"Temperate Broadleaf and Mixed Forests";32;NA;NA;NA;NA
"34";80415;"Changjiang Plain evergreen forests";4;"Temperate Broadleaf and Mixed Forests";286;NA;NA;NA;NA
"35";80416;"Crimean Submediterranean forest complex";4;"Temperate Broadleaf and Mixed Forests";11;NA;NA;NA;NA
"36";80417;"Daba Mountains evergreen forests";4;"Temperate Broadleaf and Mixed Forests";39;NA;NA;NA;NA
