"";"ID";"Code";"Name_En";"Name_Latin";"Name_ru"
"1";101;"Pi";"Pine ";"Pinus sylvestris";"<U+0421> "
"2";102;"Sp";"Spruce ";"Picea";"<U+0415> "
"3";103;"Fi";"Fir ";"Abies";"<U+041F><U+0438><U+0445><U+0442><U+0430>"
"4";104;"La";"Larch ";"Larix";"<U+041B> "
"5";105;"Pk";"Pine Korean";"Pinus koraiensis";"<U+041A><U+0435><U+0434><U+0440> <U+043A><U+043E><U+0440><U+0435><U+0439><U+0441><U+043A><U+0438><U+0439>"
"6";105;"Ps";"Siberian pine";"Pinus Sibirica";"<U+041A> "
"7";106;"Ju";"Juniper ";"Juniperus";"<U+041C><U+043E><U+0436><U+0436> "
"8";110;"Oa";"Oak ";"Quercus";"<U+0414><U+0432> "
"9";111;"Oa";"Oak (coppice)";"Quercus";"<U+0414><U+043D> "
"10";112;"Be";"Beech ";"Fagus";"<U+0411><U+0443><U+043A> "
"11";113;"Hb";"Hornbeam ";"Carpinus betulus";"<U+0413><U+0440> "
"12";114;"Ah";"Ash ";"Fraxinus";"<U+042F><U+0441> "
"13";115;"Ma";"Mapl ";"Acer";"<U+041A><U+043B> "
"14";116;"El";"Elm";"Ulmus";"<U+0412><U+044F><U+0437> "
"15";120;"Sa";"Saxaul";"Haloxylon";"<U+0421><U+0430><U+043A><U+0441><U+0430><U+0443><U+043B> "
"16";121;"Ac";"Acacia ";"Acacia";"<U+0410><U+043A><U+0430><U+0446><U+0438><U+044F>"
"17";124;"Bi";"Birch ";"Betula";"<U+0411> "
"18";125;"As";"Aspen ";"Populus tremula";"<U+041E><U+0441> "
"19";126;"Al";"Alder grey ";"Alnus incana ";"<U+041E><U+043B><U+0441> "
"20";127;"Al";"Alder black ";"Alnus glutinosa ";"<U+041E><U+043B><U+0447> "
"21";130;"Li";"Lime-tree ";"Tilia";"<U+041B><U+043F> "
"22";131;"Cho";"Chosenia";"Chosenia arbutifolia";"<U+0427><U+043E><U+0437><U+0435><U+043D><U+0438><U+044F>"
"23";131;"Po";"Poplar ";"Populus";"<U+0422><U+043E><U+043F><U+043E><U+043B><U+044C> "
"24";132;"Wi";"Willow ";"Salix";"<U+0418><U+0432><U+0434> "
"25";144;"Hb";"Hornbeam";"Carpinus orientalis";"<U+0413><U+0440><U+0430><U+0431> <U+0432><U+043E><U+0441><U+0442>. "
"26";155;"Ch";"Chestnut";"Aésculus";"<U+041A><U+0430><U+0448><U+0442><U+0430><U+043D> "
"27";163;"So";"Rowan";"Sorbus";"<U+0420><U+044F><U+0431><U+0438><U+043D><U+0430> "
"28";166;"Ye";"Yew";"Taxus";"<U+0422><U+0438><U+0441> "
"29";171;"Bc";"Bird-cherry tree";NA;"<U+0427><U+0435><U+0440><U+0451><U+043C><U+0443><U+0445><U+0430> "
"30";177;"At";"Apple-tree";"Malus";"<U+042F><U+0431><U+043B><U+043E><U+043D><U+044F> "
"31";180;"Cy";"Cypress";"Cupressus funebris";NA
"32";180;"FD";"Fir Douglas";"Pseudotsuga menziesii";NA
"33";180;"Gu";"Gum,  forest red";"Eucalyptus tereticornis";NA
"34";180;"He";"Hemlock";"Tsuga";NA
"35";180;"Hi";"Hiba";"Thujopsis";NA
"36";180;"Ho";"Holly, European";"Ilex aquifolium";"<U+041F><U+0430><U+0434><U+0443><U+0431> <U+043E><U+0441><U+0442><U+0440><U+043E><U+043B><U+0438><U+0441><U+0442><U+043D><U+044B><U+0439>"
"37";180;"Hon";"Honeylocust";"Gleditschia triacanthos";NA
"38";180;"Ir";"Ironwood";"Parrotia persica";NA
"39";180;"Lo";"Black locust";"Robinia pseudoacacia";"<U+0410><U+043A><U+0430><U+0446><U+0438><U+044F>"
"40";180;"Ly";"Lyonia";"Lyonia";NA
"41";180;"Mag";"Magnolia";"Magnolia";NA
"42";180;"Mas";"Mascal-wood";"Vatica";NA
"43";180;"Mer";"Meranti";"Shorea";NA
"44";180;"Met";"Metasequoia";"Metasequoia  glyptostroboides";NA
"45";180;"OC";"Oak, bamboo-leaf";"Cyclobalanopsis myrsinifolia";NA
"46";180;"Ot";"Other";"etc.";"<U+0414><U+0440><U+0443><U+0433><U+0438><U+0435> <U+0434><U+0440><U+0435><U+0432><U+0435><U+0441><U+043D><U+044B><U+0435> <U+043F><U+043E><U+0440><U+043E><U+0434><U+044B> "
"47";180;"Te";"Teak";"Tectona grandis";NA
"48";180;"We";"Weed";"Genista aetensis";NA
"49";180;"Yo";"Yon";"Anogeissus";NA
