"";"Country.Name";"Plots";"Trees"
"1";"Belarus";439;8
"2";"Belgium";34;14
"3";"Bulgaria";75;137
"4";"China";2933;65
"5";"Czech Republic";20;153
"6";"Denmark";85;1
"7";"Finnland";38;NA
"8";"France";63;NA
"9";"Germany";184;NA
"10";"Hungary";28;NA
"11";"India";37;NA
"12";"Italy";29;NA
"13";"Japan";412;NA
"14";"Kazakhstan";393;NA
"15";"Lithuania";33;NA
"16";"Mongolia";10;NA
"17";"Other Countries";254;9235
"18";"Russian Federation";4228;NA
"19";"Sweden";56;NA
"20";"Switzerland";6;NA
"21";"Ukraine";897;NA
"22";"United Kingdom";97;NA
