"";"Tree genus";"Sample plots";"Sample trees"
"1";"Abies";320;386
"2";"Acacia";44;NA
"3";"Acer";7;27
"4";"Alnus";142;31
"5";"Betula";643;1291
"6";"Carpinus";17;22
"7";"Castanopsis";53;NA
"8";"Chamaecyparis";38;10
"9";"Chosenia";6;17
"10";"Cryptomeria";97;29
"11";"Cunninghamia";489;NA
"12";"Cupressus";32;NA
"13";"Cyclobalanopsis";254;NA
"14";"Eucalyptus";37;NA
"15";"Fagus";221;56
"16";"Fokienia";34;NA
"17";"Fraxinus";55;31
"18";"Larix";711;566
"19";"Other.Species";310;56
"20";"Picea";921;1298
"21";"Pinus";4186;4668
"22";"Populus";533;513
"23";"Pseudotsuga";27;13
"24";"Quercus";650;130
"25";"Robinia";40;24
"26";"Salix";22;23
"27";"Tilia";462;402
"28";"Sorbus";NA;20
