ID;Species;Tree age;DBH;H tree;Hcr;Dcr;Vtot;Vbark;Origin;Pst;Pbark;Pbr;Pf;Pabo;Proot;Ptot;Location;Country;Latitude;Longitude;Altitude (m.s.l.);Tree number / ha;Reference;Notes;Ecoregion;ID_Plot
1;Pinus sylvestris L.;11;1,4;2,25;;;0,64;;Natural;0,3;;0,16;0,23;0,69;0,19;0,88;England: Brandon;GBR;52,50;1,88;;58010;Ovington, 1957;;80421;
2;Pinus sylvestris L.;14;3,1;4,32;;;1,9;;Natural;0,89;;0,18;0,16;1,23;0,55;1,78;England: Brandon;GBR;52,50;1,88;;27750;Ovington, 1957;;80421;
3;Pinus sylvestris L.;55;22;21;;;406;;Natural;203;;17,05;6,1;226,2;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;999;Burger, 1948;;80501;
4;Pinus sylvestris L.;65;25;24,5;;;601;;Natural;291;;17,2;6,4;314,6;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;678;Burger, 1948;;80501;
5;Pinus sylvestris L.;70;28;26;;;747;;Natural;373;;19,57;5,5;398,1;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;600;Burger, 1948;;80501;
6;Pinus sylvestris L.;80;25;27;;;691;;Natural;408;;9,53;2,9;420,4;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;858;Burger, 1948;;80501;
7;Pinus sylvestris L.;82;28;20;;;837;;Natural;419;;39,45;11,7;470,2;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;604;Burger, 1948;;80501;
8;Pinus sylvestris L.;84;53,1;31;;;1160;;Natural;545;;116;30,1;691,1;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;492;Burger, 1948;;80501;
9;Pinus sylvestris L.;86;27,5;29,5;;;800;;Natural;424;;20,2;8;452,2;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;750;Burger, 1948;;80501;
10;Pinus sylvestris L.;100;33,5;32;;;1342;;Natural;671;;26,4;8,7;706,1;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;512;Burger, 1948;;80501;
11;Pinus sylvestris L.;12;11,2;7,7;;;43;;Planted;;;;;;5;;Jelgava;LAT;56,50;23,50;;2145;Bārdulis et al., 2012;;80436;
12;Pinus sylvestris L.;14;10,3;8,2;;;39,5;;Planted;;;;;;7;;Jelgava;LAT;56,50;23,50;;2925;Bārdulis et al., 2012;;80436;
13;Pinus sylvestris L.;46;2;;;;;;Natural;0,55;0,07;0,041;0,05;0,641;0,149;0,79;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
14;Pinus sylvestris L.;46;4;;;;;;Natural;2,29;0,3;0,135;0,13;2,55;0,618;3,168;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
15;Pinus sylvestris L.;46;6;;;;;;Natural;5,93;0,78;0,49;0,4;6,82;1,6;8,42;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
16;Pinus sylvestris L.;46;8;;;;;;Natural;11,4;1,37;1,02;0,7;13,1;3,09;16,19;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
17;Pinus sylvestris L.;46;10;;;;;;Natural;19,6;2,04;2,25;1,33;23,2;5,3;28,5;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
18;Pinus sylvestris L.;46;12;;;;;;Natural;32;2,78;4,2;2,4;38,6;8,65;47,25;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
19;Pinus sylvestris L.;46;14;;;;;;Natural;35,5;3,59;6,39;2,62;44,5;9,59;54,09;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
20;Pinus sylvestris L.;170;8;9,3;;;26;4;Natural;11,3;1,2;1,4;0,9;13,6;2;15,6;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
