"";"ID";"Species";"Tree.age";"DBH";"H.tree";"Hcr";"Dcr";"Vtot";"Vbark";"Origin";"Pst";"Pbark";"Pbr";"Pf";"Pabo";"Proot";"Ptot";"Location";"Country";"Latitude";"Longitude";"Altitude..m.s.l..";"Tree.number...ha";"Reference";"Notes";"Ecoregion";"ID_Plot"
"1";1;"Pinus sylvestris L.";11;1,4;2,25;NA;NA;0,64;NA;"Natural";0,3;NA;0,16;0,23;0,69;0,19;0,88;"England: Brandon";"GBR";52,5;1,883;NA;58010;"Ovington, 1957";NA;80421;NA
"2";2;"Pinus sylvestris L.";14;3,1;4,32;NA;NA;1,9;NA;"Natural";0,89;NA;0,18;0,16;1,23;0,55;1,78;"England: Brandon";"GBR";52,5;1,883;NA;27750;"Ovington, 1957";NA;80421;NA
"3";3;"Pinus sylvestris L.";55;22;21;NA;NA;406;NA;"Natural";203;NA;17,05;6,1;226,2;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;999;"Burger, 1948";NA;80501;NA
"4";4;"Pinus sylvestris L.";65;25;24,5;NA;NA;601;NA;"Natural";291;NA;17,2;6,4;314,6;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;678;"Burger, 1948";NA;80501;NA
"5";5;"Pinus sylvestris L.";70;28;26;NA;NA;747;NA;"Natural";373;NA;19,57;5,5;398,1;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;600;"Burger, 1948";NA;80501;NA
"6";6;"Pinus sylvestris L.";80;25;27;NA;NA;691;NA;"Natural";408;NA;9,53;2,9;420,4;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;858;"Burger, 1948";NA;80501;NA
"7";7;"Pinus sylvestris L.";82;28;20;NA;NA;837;NA;"Natural";419;NA;39,45;11,7;470,2;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;604;"Burger, 1948";NA;80501;NA
"8";8;"Pinus sylvestris L.";84;53,1;31;NA;NA;1160;NA;"Natural";545;NA;116;30,1;691,1;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;492;"Burger, 1948";NA;80501;NA
"9";9;"Pinus sylvestris L.";86;27,5;29,5;NA;NA;800;NA;"Natural";424;NA;20,2;8;452,2;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;750;"Burger, 1948";NA;80501;NA
"10";10;"Pinus sylvestris L.";100;33,5;32;NA;NA;1342;NA;"Natural";671;NA;26,4;8,7;706,1;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;512;"Burger, 1948";NA;80501;NA
"11";11;"Pinus sylvestris L.";12;11,2;7,7;NA;NA;43;NA;"Planted";NA;NA;NA;NA;NA;5;NA;"Jelgava";"LAT";56,5;23,5;NA;2145;"Bardulis et al., 2012";NA;80436;NA
"12";12;"Pinus sylvestris L.";14;10,3;8,2;NA;NA;39,5;NA;"Planted";NA;NA;NA;NA;NA;7;NA;"Jelgava";"LAT";56,5;23,5;NA;2925;"Bardulis et al., 2012";NA;80436;NA
"13";13;"Pinus sylvestris L.";46;2;NA;NA;NA;NA;NA;"Natural";0,55;0,07;0,041;0,05;0,641;0,149;0,79;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"14";14;"Pinus sylvestris L.";46;4;NA;NA;NA;NA;NA;"Natural";2,29;0,3;0,135;0,13;2,55;0,618;3,168;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"15";15;"Pinus sylvestris L.";46;6;NA;NA;NA;NA;NA;"Natural";5,93;0,78;0,49;0,4;6,82;1,6;8,42;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"16";16;"Pinus sylvestris L.";46;8;NA;NA;NA;NA;NA;"Natural";11,4;1,37;1,02;0,7;13,1;3,09;16,19;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
